Abbreviation,Full Form
J Odontol Conserv,Journal d'Odontologie Conservatrice
J Urol Nephrol Paris,Journal d'Urologie et de Nephrologie
J Urol Paris,Journal d'Urologie
J Healthc Qual,Journal for Healthcare Quality
J Hosp Admit Manage,Journal for Hospital Admitting Management
J Medicaid Manage,Journal for Medicaid Management
J Nurses Staff Dev,Journal for Nurses in Staff Development
J Spec Pediatr Nurs,Journal for Specialists in Pediatric Nursing
J Fr Med Chir Thorac,Journal Francais de Medecine et Chirurgie Thoraciques
J Fr Ophtalmol,Journal Francais d'Ophtalmologie
J Fr Otorhinolaryngol Chir Maxillofac,Journal Francais d'Oto-Rhino-Laryngologie et Chirurgie Maxillo-Faciale
J Fr Otorhinolaryngol Audiophonol Chir Maxillofac,"Journal Francais d'Oto-Rhino-Laryngologie, Audio-Phonologie et Chirurgie Maxillo-Faciale"
J Fr Otorhinolaryngol Audiophonol Chir Maxillofac,"Journal Francais d'Oto-Rhino-Laryngologie, Audiophonologie, Chirurgie Maxillo-Faciale"
J Hirnforsch,Journal fur Hirnforschung
J Med Liban,Journal Medical Libanais (Lebanese Medical Journal)
J AAPOS,Journal of AAPOS
J Abnorm Child Psychol,Journal of Abnormal Child Psychology
J Abnorm Psychol,Journal of Abnormal Psychology
J Accid Emerg Med,Journal of Accident and Emergency Medicine
J Acquir Immune Defic Syndr Hum Retrovirol,Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology
J Acquir Immune Defic Syndr,Journal of Acquired Immune Deficiency Syndromes
J Acupunct Meridian Stud,Journal of Acupuncture and Meridian Studies
J Addict Dis,Journal of Addictive Diseases
J Adhes Dent,Journal of Adhesive Dentistry
J Adolesc,Journal of Adolescence
J Adolesc Health Care,Journal of Adolescent Health Care
J Adolesc Health,Journal of Adolescent Health
J Adv Med Surg Nurs,Journal of Advanced Medical-Surgical Nursing
J Adv Nurs,Journal of Advanced Nursing
J Aerosol Med,Journal of Aerosol Medicine
J Affect Disord,Journal of Affective Disorders
J Aging Health,Journal of Aging and Health
J Aging Phys Act,Journal of Aging and Physical Activity
J Aging Soc Policy,Journal of Aging and Social Policy
J Agric Food Chem,Journal of Agricultural and Food Chemistry
J AHIMA,Journal of AHIMA
J Air Med Transp,Journal of Air Medical Transport
J Allergy Clin Immunol,Journal of Allergy and Clinical Immunology
J Allergy,Journal of Allergy
J Allied Health,Journal of Allied Health
J Altern Complement Med,Journal of Alternative and Complementary Medicine
J Alzheimers Dis,Journal of Alzheimer's Disease
J Ambulatory Care Manage,Journal of Ambulatory Care Management
J Ambul Care Mark,Journal of Ambulatory Care Marketing
J Am Coll Health,Journal of American College Health
J Am Health Care,Journal of American Health Care
J Am Health Policy,Journal of American Health Policy
J Am Insur,Journal of American Insurance
J Anal Psychol,Journal of Analytical Psychology
J Anal Toxicol,Journal of Analytical Toxicology
J Anat,Journal of Anatomy
J Androl,Journal of Andrology
J Anim Physiol Anim Nutr,Journal of Animal Physiology and Animal Nutrition
J Anim Sci,Journal of Animal Science
J Antibiot Tokyo,Journal of Antibiotics
J Antibiot B,Journal of Antibiotics. Ser. B.
J Antimicrob Chemother,Journal of Antimicrobial Chemotherapy
J Anxiety Disord,Journal of Anxiety Disorders
J AOAC Int,Journal of AOAC International
J APDSA Tokyo,Journal of APDSA; Asian Pacific Dental Student Association
J Appl Bacteriol,Journal of Applied Bacteriology
J Appl Behav Anal,Journal of Applied Behavior Analysis
J Appl Behav Sci,Journal of Applied Behavioral Science
J Appl Biochem,Journal of Applied Biochemistry
J Appl Biomater Biomech,Journal of Applied Biomaterials and Biomechanics
J Appl Biomater,Journal of Applied Biomaterials
J Appl Biomech,Journal of Applied Biomechanics
J Appl Clin Med Phys,Journal of Applied Clinical Medical Physics
J Appl Gerontol,Journal of Applied Gerontology
J Appl Meas,Journal of Applied Measurement
J Appl Microbiol,Journal of Applied Microbiology
J Appl Nutr,Journal of Applied Nutrition
J Appl Physiol,Journal of Applied Physiology
J Appl Physiol,"Journal of Applied Physiology: Respiratory, Environmental and Exercise Physiology"
J Appl Psychol,Journal of Applied Psychology
J Appl Toxicol,Journal of Applied Toxicology
J Arthroplasty,Journal of Arthroplasty
J Asian Nat Prod Res,Journal of Asian Natural Products Research
J Assist Reprod Genet,Journal of Assisted Reproduction and Genetics
J Asthma Res,Journal of Asthma Research
J Asthma,Journal of Asthma
J Atheroscler Res,Journal of Atherosclerosis Research
J Athl Train,Journal of Athletic Training
J Atten Disord,Journal of Attention Disorders
J Audiov Media Med,Journal of Audiovisual Media in Medicine
J Aud Res,Journal of Auditory Research
J Autism Child Schizophr,Journal of Autism and Childhood Schizophrenia
J Autism Dev Disord,Journal of Autism and Developmental Disorders
J Autoimmun,Journal of Autoimmunity
J Auton Pharmacol,Journal of Autonomic Pharmacology
J Back Musculoskelet Rehabil,Journal of Back and Musculoskeletal Rehabilitation
J Bacteriol,Journal of Bacteriology
J Basic Clin Physiol Pharmacol,Journal of Basic and Clinical Physiology and Pharmacology
J Basic Microbiol,Journal of Basic Microbiology
J Behav Ther Exp Psychiatry,Journal of Behavior Therapy and Experimental Psychiatry
J Behav Health Serv Res,Journal of Behavioral Health Services and Research
J Behav Med,Journal of Behavioral Medicine
J Biochem Biophys Methods,Journal of Biochemical and Biophysical Methods
J Biochem Mol Toxicol,Journal of Biochemical and Molecular Toxicology
J Biochem Toxicol,Journal of Biochemical Toxicology
J Biochem Tokyo,Journal of Biochemistry
J Biochem Mol Biol Biophys,"Journal of Biochemistry, Molecular Biology, and Biophysics"
J Biocommun,Journal of Biocommunication
J Bioenerg Biomembr,Journal of Bioenergetics and Biomembranes
J Bioenerg,Journal of Bioenergetics
J Bioeng,Journal of Bioengineering
J Bioeth,Journal of Bioethics
J Bioinform Comput Biol,Journal of Bioinformatics and Computational Biology
J Biol Chem,Journal of Biological Chemistry
J Biol Eng,Journal of Biological Engineering
J Biol Inorg Chem,Journal of Biological Inorganic Chemistry
J Biol Photogr,Journal of Biological Photography
J Biol Regul Homeost Agents,Journal of Biological Regulators and Homeostatic Agents
J Biol Response Mod,Journal of Biological Response Modifiers
J Biol Rhythms,Journal of Biological Rhythms
J Biol Stand,Journal of Biological Standardization
J Biol,Journal of Biology
J Biolumin Chemilumin,Journal of Bioluminescence and Chemiluminescence
J Biomater Appl,Journal of Biomaterials Applications
J Biomater Sci Polym Ed,"Journal of Biomaterials Science, Polymer Edition"
J Biomech Eng,Journal of Biomechanical Engineering
J Biomech,Journal of Biomechanics
J Biomed Discov Collab,Journal of Biomedical Discovery and Collaboration
J Biomed Eng,Journal of Biomedical Engineering
J Biomed Inform,Journal of Biomedical Informatics
J Biomed Mater Res,Journal of Biomedical Materials Research
J Biomed Mater Res A,Journal of Biomedical Materials Research. Part A
J Biomed Mater Res B Appl Biomater,"Journal of Biomedical Materials Research. Part B, Applied Biomaterials"
J Biomed Nanotechnol,Journal of Biomedical Nanotechnology
J Biomed Opt,Journal of Biomedical Optics
J Biomed Sci,Journal of Biomedical Science
J Biomol NMR,Journal of Biomolecular NMR
J Biomol Screen,Journal of Biomolecular Screening
J Biomol Struct Dyn,Journal of Biomolecular Structure and Dynamics
J Biomol Tech,Journal of Biomolecular Techniques
J Biopharm Stat,Journal of Biopharmaceutical Statistics
J Biophotonics,Journal of Biophotonics
J Biosoc Sci,Journal of Biosocial Science
J Biosoc Sci Suppl,Journal of Biosocial Science. Supplement
J Biotechnol,Journal of Biotechnology
J Bone Joint Surg Am,Journal of Bone and Joint Surgery. American Volume
J Bone Joint Surg Br,Journal of Bone and Joint Surgery. British Volume
J Bone Miner Metab,Journal of Bone and Mineral Metabolism
J Bone Miner Res,Journal of Bone and Mineral Research
J Brachial Plex Peripher Nerve Inj,Journal of Brachial Plexus and Peripheral Nerve Injury
J Breath Res,Journal of Breath Research
J Burn Care Rehabil,Journal of Burn Care and Rehabilitation
J Burn Care Res,Journal of Burn Care and Research
J Bus Strategy,Journal of Business Strategy
J Cancer Educ,Journal of Cancer Education
J Cancer Epidemiol Prev,Journal of Cancer Epidemiology and Prevention
J Cancer Res Clin Oncol,Journal of Cancer Research and Clinical Oncology
J Cancer Surviv,Journal of Cancer Survivorship
J Capillary Electrophor,Journal of Capillary Electrophoresis
J Card Fail,Journal of Cardiac Failure
J Card Surg,Journal of Cardiac Surgery
J Cardiogr,Journal of Cardiography
J Cardiogr Suppl,Journal of Cardiography. Supplement
J Cardiol,Journal of Cardiology
J Cardiol Suppl,Journal of Cardiology. Supplement
J Cardpulm Rehabil,Journal of Cardiopulmonary Rehabilitation
J Cardiothorac Vasc Anesth,Journal of Cardiothoracic and Vascular Anesthesia
J Cardiothorac Anesth,Journal of Cardiothoracic Anesthesia
J Cardiothorac Surg,Journal of Cardiothoracic Surgery
J Cardiovasc Electrophysiol,Journal of Cardiovascular Electrophysiology
J Cardiovasc Magn Reson,Journal of Cardiovascular Magnetic Resonance
J Cardiovasc Manag,Journal of Cardiovascular Management
J Cardiovasc Med,Journal of Cardiovascular Medicine
J Cardiovasc Nurs,Journal of Cardiovascular Nursing
J Cardiovasc Pharmacol Ther,Journal of Cardiovascular Pharmacology and Therapeutics
J Cardiovasc Pharmacol,Journal of Cardiovascular Pharmacology
J Cardiovasc Risk,Journal of Cardiovascular Risk
J Cardiovasc Surg Torino,Journal of Cardiovascular Surgery
J Cardiovasc Transl Res,Journal of Cardiovascular Translational Research
J Case Manag,Journal of Case Management
J Cataract Refract Surg,Journal of Cataract and Refractive Surgery
J Cell Biol,Journal of Cell Biology
J Cell Commun Signal,Journal of Cell Communication and Signaling
J Cell Sci,Journal of Cell Science
J Cell Sci Suppl,Journal of Cell Science. Supplement
J Cell Mol Med,Journal of Cellular and Molecular Medicine
J Cell Biochem,Journal of Cellular Biochemistry
J Cell Biochem Suppl,Journal of Cellular Biochemistry. Supplement
J Cell Physiol,Journal of Cellular Physiology
J Cell Physiol Suppl,Journal of Cellular Physiology. Supplement
J Cereb Blood Flow Metab,Journal of Cerebral Blood Flow and Metabolism
J Chem Biol,Journal of Chemical Biology
J Chem Doc,Journal of Chemical Documentation
J Chem Ecol,Journal of Chemical Ecology
J Chem Educ,Journal of Chemical Education
J Chem Inf Comput Sci,Journal of Chemical Information and Computer Sciences
J Chem Inf Model,Journal of Chemical Information and Modeling
J Chem Neuroanat,Journal of Chemical Neuroanatomy
J Chem Phys,Journal of Chemical Physics
J Chem Technol Biotechnol,Journal of Chemical Technology and Biotechnology
J Chemother,Journal of Chemotherapy
J Child Adolesc Psychiatr Ment Health Nurs,Journal of Child and Adolescent Psychiatric and Mental Health Nursing
J Child Adolesc Psychiatr Nurs,Journal of Child and Adolescent Psychiatric Nursing
J Child Adolesc Psychopharmacol,Journal of Child and Adolescent Psychopharmacology
J Child Lang,Journal of Child Language
J Child Neurol,Journal of Child Neurology
J Child Psychol Psychiatry,Journal of Child Psychology and Psychiatry and Allied Disciplines
J Christ Nurs,Journal of Christian Nursing
J Chromatogr Sci,Journal of Chromatographic Science
J Chromatogr A,Journal of Chromatography A
J Chromatogr B Biomed Appl,"Journal of Chromatography B, Biomedical Applications"
J Chromatogr,Journal of Chromatography
J Chromatogr B Analyt Technol Biomed Life Sci,"Journal of Chromatography. B, Analytical Technologies in the Biomedical and Life Sciences"
J Chromatogr B Biomed Sci Appl,"Journal of Chromatography. B, Biomedical Sciences and Applications"
J Chromatogr B Biomed Sci App,"Journal of Chromatography. B, Biomedical Sciences and Applications"
J Chromatogr Suppl,Journal of Chromatography. Supplementary Volume
J Chronic Dis,Journal of Chronic Diseases
J Clin Exp Hematop,Journal of Clinical and Experimental Hematopathology
J Clin Exp Neuropsychol,Journal of Clinical and Experimental Neuropsychology
J Clin Hosp Pharm,Journal of Clinical and Hospital Pharmacy
J Clin Lab Immunol,Journal of Clinical and Laboratory Immunology
J Clin Anesth,Journal of Clinical Anesthesia
J Clin Apheresis,Journal of Clinical Apheresis
J Clin Chem Clin Biochem,Journal of Clinical Chemistry and Clinical Biochemistry
J Clin Child Adolesc Psychol,Journal of Clinical Child and Adolescent Psychology
J Clin Child Psychol,Journal of Clinical Child Psychology
J Clin Comput,Journal of Clinical Computing
J Clin Densitom,Journal of Clinical Densitometry
J Clin Dent,Journal of Clinical Dentistry
J Clin Dysmorphol,Journal of Clinical Dysmorphology
J Clin Endocrinol Metab,Journal of Clinical Endocrinology and Metabolism
J Clin Eng,Journal of Clinical Engineering
J Clin Epidemiol,Journal of Clinical Epidemiology
J Clin Ethics,Journal of Clinical Ethics
J Clin Gastroenterol,Journal of Clinical Gastroenterology
J Clin Hypertens,Journal of Clinical Hypertension
J Clin Immunol,Journal of Clinical Immunology
J Clin Invest,Journal of Clinical Investigation
J Clin Lab Anal,Journal of Clinical Laboratory Analysis
J Clin Laser Med Surg,Journal of Clinical Laser Medicine and Surgery
J Clin Lipidol,Journal of Clinical Lipidology
J Clin Microbiol,Journal of Clinical Microbiology
J Clin Monit Comput,Journal of Clinical Monitoring and Computing
J Clin Monit,Journal of Clinical Monitoring
J Clin Neuroophthalmol,Journal of Clinical Neuro-Ophthalmology
J Clin Neurophysiol,Journal of Clinical Neurophysiology
J Clin Neuropsychol,Journal of Clinical Neuropsychology
J Clin Neurosci,Journal of Clinical Neuroscience
J Clin Nurs,Journal of Clinical Nursing
J Clin Oncol,Journal of Clinical Oncology
J Clin Orthod,Journal of Clinical Orthodontics
J Clin Pathol,Journal of Clinical Pathology
J Clin Pathol Suppl Assoc Clin Pathol,Journal of Clinical Pathology. Supplement (Association of Clinical Pathologists)
J Clin Pathol Suppl R Coll Pathol,Journal of Clinical Pathology. Supplement (Royal College of Pathologists)
J Clin Pediatr Dent,Journal of Clinical Pediatric Dentistry
J Clin Periodontol,Journal of Clinical Periodontology
J Clin Pharmacol New Drugs,Journal of Clinical Pharmacology and New Drugs
J Clin Pharmacol J New Drugs,Journal of Clinical Pharmacology and the Journal of New Drugs
J Clin Pharmacol,Journal of Clinical Pharmacology
J Clin Pharm Ther,Journal of Clinical Pharmacy and Therapeutics
J Clin Psychiatry,Journal of Clinical Psychiatry
J Clin Psychol,Journal of Clinical Psychology
J Clin Psychopharmacol,Journal of Clinical Psychopharmacology
J Clin Rheumatol,Journal of Clinical Rheumatology
J Clin Sleep Med,Journal of Clinical Sleep Medicine
J Clin Stomatol Conf,Journal of Clinical Stomatology Conferences
J Clin Ultrasound,Journal of Clinical Ultrasound
J Clin Virol,Journal of Clinical Virology
J Cogn Neurosci,Journal of Cognitive Neuroscience
J Collect Negotiations Public Sect,Journal of Collective Negotiations in the Public Sector
J Colloid Interface Sci,Journal of Colloid and Interface Science
J Colloid Sci,Journal of Colloid Science
J Comb Chem,Journal of Combinatorial Chemistry
J Commun Dis,Journal of Communicable Diseases
J Commun Disord,Journal of Communication Disorders
J Commun,Journal of Communication
J Community Health Nurs,Journal of Community Health Nursing
J Community Health,Journal of Community Health
J Community Psychol,Journal of Community Psychology
J Comp Physiol Psychol,Journal of Comparative and Physiological Psychology
J Comp Econ,Journal of Comparative Economics
J Comp Neurol,Journal of Comparative Neurology
J Comp Pathol,Journal of Comparative Pathology
J Comp Physiol A Neuroethol Sens Neural Behav Physiol,"Journal of Comparative Physiology. A, Neuroethology, Sensory, Neural, and Behavioral Physiology"
J Comp Physiol A,"Journal of Comparative Physiology. A, Sensory, Neural, and Behavioral Physiology"
J Comp Physiol B,"Journal of Comparative Physiology. B, Biochemical, Systemic, and Environmental Physiology"
J Comp Psychol,Journal of Comparative Psychology
J Compliance Health Care,Journal of Compliance in Health Care
J Comput Biol,Journal of Computational Biology
J Comput Neurosci,Journal of Computational Neuroscience
J Comput Tomogr,Journal of Computed Tomography
J Comput Assist Tomogr,Journal of Computer Assisted Tomography
J Comput Aided Mol Des,Journal of Computer-Aided Molecular Design
J Consult Clin Psychol,Journal of Consulting and Clinical Psychology
J Consult Psychol,Journal of Consulting Psychology
J Contemp Dent Pract,Journal of Contemporary Dental Practice
J Contemp Health Law Policy,Journal of Contemporary Health Law and Policy
J Contin Educ Nurs,Journal of Continuing Education in Nursing
J Contin Educ Health Prof,Journal of Continuing Education in the Health Professions
J Control Release,Journal of Controlled Release
J Controlled Release,Journal of Controlled Release
J Correct Health Care,Journal of Correctional Health Care
J Cosmet Laser Ther,Journal of Cosmetic and Laser Therapy
J Cosmet Dermatol,Journal of Cosmetic Dermatology
J Cosmet Sci,Journal of Cosmetic Science
J Couns Psychol,Journal of Counseling Psychology
J Craniofac Genet Dev Biol,Journal of Craniofacial Genetics and Developmental Biology
J Craniofac Genet Dev Biol Suppl,Journal of Craniofacial Genetics and Developmental Biology. Supplement
J Craniofac Surg,Journal of Craniofacial Surgery
J Craniomandib Disord,Journal of Craniomandibular Disorders
J Craniomandibular Pract,Journal of Cranio-Mandibular Practice
J Craniomaxillofac Surg,Journal of Cranio-Maxillo-Facial Surgery
J Crit Care,Journal of Critical Care
J Crit Illn,Journal of Critical Illness
J Crohns Colitis,Journal of Crohn's and Colitis
J Cult Divers,Journal of Cultural Diversity
J Cutan Laser Ther,Journal of Cutaneous Laser Therapy
J Cutan Med Surg,Journal of Cutaneous Medicine and Surgery
J Cutan Pathol,Journal of Cutaneous Pathology
J Cyclic Nucleotide Protein Phosphor Res,Journal of Cyclic Nucleotide and Protein Phosphorylation Research
J Cyclic Nucleotide Res,Journal of Cyclic Nucleotide Research
J Cyst Fibros,Journal of Cystic Fibrosis
J Dairy Res,Journal of Dairy Research
J Dairy Sci,Journal of Dairy Science
J Dent Educ,Journal of Dental Education
J Dent Hyg,Journal of Dental Hygiene
J Dent Med,Journal of Dental Medicine
J Dent Pract Adm,Journal of Dental Practice Administration
J Dent Res,Journal of Dental Research
J Dent Symp,Journal of Dental Symposia
J Dent Technol,Journal of Dental Technology
J Dent Child,Journal of Dentistry for Children
J Dent Child,Journal of Dentistry for Children
J Dent Handicap,Journal of Dentistry for the Handicapped
J Dent,Journal of Dentistry
J Dermatol Surg Oncol,Journal of Dermatologic Surgery and Oncology
J Dermatol Surg,Journal of Dermatologic Surgery
J Dermatol Sci,Journal of Dermatological Science
J Dermatol,Journal of Dermatology
J Dev Behav Pediatr,Journal of Developmental and Behavioral Pediatrics
J Dev Physiol,Journal of Developmental Physiology
J Diabetes Complications,Journal of Diabetes and Its Complications
J Diabetes,Journal of Diabetes
J Diabet Complications,Journal of Diabetic Complications
J Dial,Journal of Dialysis
J Diarrhoeal Dis Res,Journal of Diarrhoeal Diseases Research
J Digit Imaging,Journal of Digital Imaging
J Drug Educ,Journal of Drug Education
J Drug Target,Journal of Drug Targeting
J Drugs Dermatol,Journal of Drugs in Dermatology
J Econ Soc Meas,Journal of Economic and Social Measurement
J Econ Entomol,Journal of Economic Entomology
J Econ Lit,Journal of Economic Literature
J Econ Perspect,Journal of Economic Perspectives
J Econ Bus,Journal of Economics and Business
J ECT,Journal of ECT
J Educ Psychol,Journal of Educational Psychology
J Electrocardiol,Journal of Electrocardiology
J Electromyogr Kinesiol,Journal of Electromyography and Kinesiology
J Electron Microsc Tech,Journal of Electron Microscopy Technique
J Electron Microsc Tokyo,Journal of Electron Microscopy
J Embryol Exp Morphol,Journal of Embryology and Experimental Morphology
J Emerg Trauma Shock,"Journal of Emergencies, Trauma and Shock"
J Emerg Med Serv JEMS,Journal of Emergency Medical Services
J Emerg Med,Journal of Emergency Medicine
J Emerg Nurs,Journal of Emergency Nursing
J Endocrinol Invest,Journal of Endocrinological Investigation
J Endocrinol,Journal of Endocrinology
J Endod,Journal of Endodontics
J Endourol,Journal of Endourology
J Endovasc Surg,Journal of Endovascular Surgery
J Endovasc Ther,Journal of Endovascular Therapy
J Eng Psychol,Journal of Engineering Psychology
J Enterostomal Ther,Journal of Enterostomal Therapy
J Environ Public Health,Journal of Environmental and Public Health
J Environ Health,Journal of Environmental Health
J Environ Manage,Journal of Environmental Management
J Environ Monit,Journal of Environmental Monitoring
J Environ Pathol Toxicol,Journal of Environmental Pathology and Toxicology
J Environ Pathol Toxicol Oncol,"Journal of Environmental Pathology, Toxicology and Oncology"
J Environ Qual,Journal of Environmental Quality
J Environ Radioact,Journal of Environmental Radioactivity
J Environ Sci Eng,Journal of Environmental Science and Engineering
J Environ Sci Health Part A Tox Hazard Subst Environ Eng,"Journal of Environmental Science and Health. Part A, Toxic/Hazardous Substances and Environmental Engineering"
J Environ Sci Health B,"Journal of Environmental Science and Health. Part B, Pesticides, Food Contaminants, and Agricultural Wastes"
J Environ Sci Health C,"Journal of Environmental Science and Health. Part C, Environmental Health Sciences"
J Enzyme Inhib Med Chem,Journal of Enzyme Inhibition and Medicinal Chemistry
J Enzym Inhib,Journal of Enzyme Inhibition
J Epidemiol Biostat,Journal of Epidemiology and Biostatistics
J Epidemiol Community Health,Journal of Epidemiology and Community Health
J Epidemiol,Journal of Epidemiology
J Epithel Biol Pharmacol,Journal of Epithelial Biology and Pharmacology
J Esthet Dent,Journal of Esthetic Dentistry
J ET Nurs,Journal of ET Nursing
J Ethn Subst Abuse,Journal of Ethnicity in Substance Abuse
J Ethnopharmacol,Journal of Ethnopharmacology
J Eukaryot Microbiol,Journal of Eukaryotic Microbiology
J Eval Clin Pract,Journal of Evaluation in Clinical Practice
J Evol Biol,Journal of Evolutionary Biology
J Existent,Journal of Existentialism
J Exp Clin Assist Reprod,Journal of Experimental and Clinical Assisted Reproduction
J Exp Clin Cancer Res,Journal of Experimental and Clinical Cancer Research
J Exp Anim Sci,Journal of Experimental Animal Science
J Exp Biol,Journal of Experimental Biology
J Exp Child Psychol,Journal of Experimental Child Psychology
J Exp Med Sci,Journal of Experimental Medical Sciences
J Exp Med,Journal of Experimental Medicine
J Exp Pathol,Journal of Experimental Pathology
J Exp Psychol,Journal of Experimental Psychology
J Exp Psychol Anim Behav Process,Journal of Experimental Psychology: Animal Behavior Processes
J Exp Psychol Gen,Journal of Experimental Psychology: General
J Exp Psychol Hum Learn,Journal of Experimental Psychology: Human Learning and Memory
J Exp Psychol Hum Percept Perform,Journal of Experimental Psychology: Human Perception and Performance
J Exp Psychol Learn Mem Cogn,"Journal of Experimental Psychology: Learning, Memory, and Cognition"
J Exp Soc Psychol,Journal of Experimental Social Psychology
J Exp Ther Oncol,Journal of Experimental Therapeutics and Oncology
J Exp Zool,Journal of Experimental Zoology
J Exp Zoolog A Comp Exp Biol,"Journal of Experimental Zoology. Part A, Comparative Experimental Biology"
J Exp Zool B Mol Dev Evol,"Journal of Experimental Zoology. Part B, Molecular and Developmental Evolution"
J Exp Zoolog B Mol Dev Evol,"Journal of Experimental Zoology. Part B, Molecular and Developmental Evolution"
J Exp Zool Suppl,Journal of Experimental Zoology. Supplement
J Expo Anal Environ Epidemiol,Journal of Exposure Analysis and Environmental Epidemiology
J Expo Sci Environ Epidemiol,Journal of Exposure Science and Environmental Epidemiology
J Extra Corpor Technol,Journal of Extra-Corporeal Technology
J Fam Nurs,Journal of Family Nursing
J Fam Plann Reprod Health Care,Journal of Family Planning and Reproductive Health Care
J Fam Pract,Journal of Family Practice
J Fam Psychol,Journal of Family Psychology
J Feline Med Surg,Journal of Feline Medicine and Surgery
J Food Prot,Journal of Food Protection
J Food Sci,Journal of Food Science
J Foot Ankle Res,Journal of Foot and Ankle Research
J Foot Ankle Surg,Journal of Foot and Ankle Surgery
J Foot Surg,Journal of Foot Surgery
J Forensic Med,Journal of Forensic Medicine
J Forensic Nurs,Journal of Forensic Nursing
J Forensic Odontostomatol,Journal of Forensic Odonto-Stomatology
J Forensic Sci,Journal of Forensic Sciences
J Free Radic Biol Med,Journal of Free Radicals in Biology and Medicine
J Funct Foods,Journal of Functional Foods
J Gambl Stud,Journal of Gambling Studies
J Gastroenterol Hepatol,Journal of Gastroenterology and Hepatology
J Gastroenterol,Journal of Gastroenterology
J Gastrointestin Liver Dis,Journal of Gastrointestinal and Liver Diseases
J Gastrointest Surg,Journal of Gastrointestinal Surgery
J Gend Specif Med,Journal of Gender-Specific Medicine
J Gene Med,Journal of Gene Medicine
J Gen Intern Med,Journal of General Internal Medicine
J Gen Microbiol,Journal of General Microbiology
J Gen Orthod,Journal of General Orthodontics
J Gen Physiol,Journal of General Physiology
J Gen Psychol,Journal of General Psychology
J Gen Virol,Journal of General Virology
J Genet Couns,Journal of Genetic Counseling
J Genet Psychol,Journal of Genetic Psychology
J Geriatr Phys Ther,Journal of Geriatric Physical Therapy
J Geriatr Psychiatry Neurol,Journal of Geriatric Psychiatry and Neurology
J Geriatr Psychiatry,Journal of Geriatric Psychiatry
J Gerontol Nurs,Journal of Gerontological Nursing
J Gerontol Soc Work,Journal of Gerontological Social Work
J Gerontol,Journal of Gerontology
J Glaucoma,Journal of Glaucoma
J Gnathol,Journal of Gnathology
J Gynecol Oncol,Journal of Gynecologic Oncology
J Gynecol Surg,Journal of Gynecologic Surgery
J Hand Surg Eur Vol,"Journal of Hand Surgery, European Volume"
J Hand Surg Am,Journal of Hand Surgery. American Volume
J Hand Surg Br,Journal of Hand Surgery. British Volume
J Hand Ther,Journal of Hand Therapy
J Hazard Mater,Journal of Hazardous Materials
J Head Trauma Rehabil,Journal of Head Trauma Rehabilitation
J Health Adm Educ,Journal of Health Administration Education
J Health Hosp Law,Journal of Health and Hospital Law
J Health Hum Behav,Journal of Health and Human Behavior
J Health Hum Resour Adm,Journal of Health and Human Resources Administration
J Health Hum Serv Adm,Journal of Health and Human Services Administration
J Health Life Sci Law,Journal of Health and Life Sciences Law
J Health Mass Commun,Journal of Health and Mass Communication
J Health Soc Behav,Journal of Health and Social Behavior
J Health Soc Policy,Journal of Health and Social Policy
J Health Care Benefits,Journal of Health Care Benefits
J Health Care Chaplain,Journal of Health Care Chaplaincy
J Health Care Finance,Journal of Health Care Finance
J Health Care Poor Underserved,Journal of Health Care for the Poor and Underserved
J Health Care Inter Des,Journal of Health Care Interior Design
J Health Care Mark,Journal of Health Care Marketing
J Health Care Technol,Journal of Health Care Technology
J Health Commun,Journal of Health Communication
J Health Econ,Journal of Health Economics
J Health Educ,Journal of Health Education
J Health Organ Manag,Journal of Health Organization and Management
J Health Polit Policy Law,"Journal of Health Politics, Policy and Law"
J Health Serv Res Policy,Journal of Health Services Research and Policy
J Health Popul Nutr,"Journal of Health, Population, and Nutrition"
J Healthc Des,Journal of Healthcare Design
J Healthc Educ Train,Journal of Healthcare Education and Training
J Healthc Inf Manag,Journal of Healthcare Information Management
J Healthc Manag,Journal of Healthcare Management
J Healthc Mater Manage,Journal of Healthcare Materiel Management
J Healthc Prot Manage,Journal of Healthcare Protection Management
J Healthc Resour Manag,Journal of Healthcare Resource Management
J Healthc Risk Manag,Journal of Healthcare Risk Management
J Heart Lung Transplant,Journal of Heart and Lung Transplantation
J Heart Transplant,Journal of Heart Transplantation
J Heart Valve Dis,Journal of Heart Valve Disease
J Helminthol,Journal of Helminthology
J Hematol Oncol,Journal of Hematology & Oncology
Journal of Hematology  Oncology,Journal of Hematology and Oncology
J Hematop,Journal of Hematopathology
J Hematother Stem Cell Res,Journal of Hematotherapy and Stem Cell Research
J Hematother,Journal of Hematotherapy
J Hepatobiliary Pancreat Surg,Journal of Hepato-Biliary-Pancreatic Surgery
J Hepatol,Journal of Hepatology
J Hepatol Suppl,Journal of Hepatology. Supplement
J Herb Pharmacother,Journal of Herbal Pharmacotherapy
J Hered,Journal of Heredity
J Histochem Cytochem,Journal of Histochemistry and Cytochemistry
J HIV Ther,Journal of HIV Therapy
J Holist Nurs,Journal of Holistic Nursing
J Homosex,Journal of Homosexuality
J Hosp Dent Pract,Journal of Hospital Dental Practice
J Hosp Infect,Journal of Hospital Infection
J Hosp Mark,Journal of Hospital Marketing
J Hosp Med,Journal of Hospital Medicine
J Hosp Supply Process Distrib,"Journal of Hospital Supply, Processing and Distribution"
